id,event_type,event_cause,crowd_proxy,crowd_estimate,latitude,longitude,address,zone,junction,requires_road_closure,priority,risk_level,start_datetime,hour,day_of_week,is_weekend,resolution_minutes,status
FKID000000,unplanned,vehicle_breakdown,Low,500,13.0400041,77.5180991,"Mumbai Bengaluru Highway, Jalahalli Cross Junction, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",Unknown,Unknown,False,High,Moderate,2024-03-07 17:01:48.111000+00:00,17.0,Thursday,False,,closed
FKID000001,unplanned,vehicle_breakdown,Low,500,12.9218755,77.6451585,"19th Main Road, Heavie Halcyon, Agara, HSR Layout, Bengaluru, Karnataka. Pin-560102 (India)",Unknown,Unknown,False,High,Moderate,2024-01-30 04:07:24.173000+00:00,4.0,Tuesday,False,10.37758925,resolved
FKID000002,unplanned,others,Low,500,12.955622,77.5857083,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",Central Zone 2,UrvashiJunction,False,Low,Minor,2023-11-11 06:18:03.343000+00:00,6.0,Saturday,True,,closed
FKID000003,unplanned,tree_fall,Low,500,13.0061469,77.5794348,"Sankey Road, Bashyam Circle, Sadashiva Nagar, Bengaluru, Karnataka. Pin-560080 (India)",Unknown,Unknown,True,Low,Moderate,2024-03-07 17:56:55.061000+00:00,17.0,Thursday,False,,closed
FKID000004,unplanned,vehicle_breakdown,Low,500,12.95398,77.5852333,"Lalbagh Fort Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",Unknown,LalbaghMainGateJunc,False,Low,Minor,2024-01-30 04:56:32.348000+00:00,4.0,Tuesday,False,,closed
FKID000005,unplanned,accident,Low,500,13.0664854,77.5998755,"Jakkur Layout, Amrutahalli, Amruthahalli, Bengaluru North City Corporation, Bengaluru, Yelahanka taluku, Bengaluru Urban, Karnataka, 560092, India",North Zone 1,Unknown,False,Low,Minor,2023-11-28 03:07:27.292421+00:00,3.0,Tuesday,False,,closed
FKID000006,unplanned,vehicle_breakdown,Low,500,12.9328703,77.4879814,"Kengeri Main Road, Ambedkar Circle, Kengeri Satellite Town, Bengaluru, Karnataka. Pin-560060 (India)",Unknown,Unknown,False,Low,Minor,2024-01-30 07:26:26.739000+00:00,7.0,Tuesday,False,,closed
FKID000007,unplanned,others,Low,500,12.973175,77.6003961,"State Bank of India Road, Saint Marks Circle, Shanthala Nagar, Bengaluru, Karnataka. Pin-560001 (India)",Unknown,Unknown,False,Low,Minor,2024-01-30 06:05:59.339000+00:00,6.0,Tuesday,False,,closed
FKID000008,planned,public_event,High,20000,12.97883573,77.59953728,"ಲಿಂಕ್ ರಸ್ತೆ, ಅಶೋಕನಗರ, ಬೆಂಗಳೂರು ಮಧ್ಯ ನಗರ ನಿಗಮ, Bengaluru, ಬೆಂಗಳೂರು ಉತ್ತರ, ಬೆಂಗಳೂರು ನಗರ, Karnataka, 560001, India",Unknown,QueensStatueCircle,False,High,Moderate,,,,False,,closed
FKID000009,unplanned,vehicle_breakdown,Low,500,13.0373543,77.6540442,"Hennuru Road, Narayana Swamy Layout, Horamavu Agara, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",Unknown,Unknown,False,Low,Minor,2024-01-30 05:25:50.078000+00:00,5.0,Tuesday,False,,closed
FKID000010,unplanned,water_logging,Low,500,13.0008457,77.6813712,"Whitefield Road, ITI Data Center, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",Unknown,Unknown,False,High,Moderate,2024-03-07 18:01:40.182000+00:00,18.0,Thursday,False,,closed
FKID000011,unplanned,vehicle_breakdown,Low,500,12.94457,77.5274017,"Mysore Road, Radiant Karel, Pantarapalya, Bengaluru, Karnataka. Pin-560039 (India)",Unknown,MysoreRd-RingRdJunc(Nayandanahallii),False,High,Moderate,2024-01-30 05:21:06.975000+00:00,5.0,Tuesday,False,,closed
FKID000012,unplanned,water_logging,Low,500,12.9995223,77.6827499,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",Unknown,Unknown,False,High,Moderate,2024-03-07 18:00:05.020000+00:00,18.0,Thursday,False,,active
FKID000013,unplanned,others,Low,500,13.0418933,77.594705,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",North Zone 1,HebbalFlyoverJunc,False,High,Moderate,2023-12-26 19:15:28.124000+00:00,19.0,Tuesday,False,,closed
FKID000014,unplanned,pot_holes,Low,500,12.975285,77.6256902,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",Unknown,Unknown,False,High,Moderate,2024-03-07 19:26:15.604000+00:00,19.0,Thursday,False,,active
FKID000015,unplanned,others,Low,500,13.0633917,77.5933483,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",Unknown,Unknown,False,High,Moderate,2024-03-07 19:10:21.930000+00:00,19.0,Thursday,False,,active
FKID000016,unplanned,others,Low,500,13.063425,77.5933,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",Unknown,Unknown,False,High,Moderate,2024-03-07 19:11:15.565000+00:00,19.0,Thursday,False,,active
FKID000017,unplanned,others,Low,500,13.0254527,77.6417388,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",Unknown,Unknown,False,High,Moderate,2024-03-07 19:18:29.890000+00:00,19.0,Thursday,False,,active
FKID000018,unplanned,tree_fall,Low,500,12.9233517,77.5904883,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",Unknown,Unknown,False,Low,Minor,2024-03-07 19:39:29.764000+00:00,19.0,Thursday,False,,closed
FKID000019,unplanned,vehicle_breakdown,Low,500,13.0001393,77.5840594,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",Unknown,Unknown,False,High,Moderate,2024-01-30 04:49:17.231000+00:00,4.0,Tuesday,False,,closed
FKID000020,unplanned,vehicle_breakdown,Low,500,12.9071221,77.6286395,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",Unknown,Unknown,False,High,Moderate,2024-03-07 19:25:04.302000+00:00,19.0,Thursday,False,,closed
FKID000021,unplanned,tree_fall,Low,500,12.927375,77.5806883,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",Unknown,Unknown,True,Low,Moderate,2024-03-07 19:45:16.034000+00:00,19.0,Thursday,False,,closed
